Date : 2024-06-27 16:43:28
Directory : /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe
Total : 144 files,  27442 codes, 462 comments, 1972 blanks, all 29876 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          2 |     10,472 |          0 |          2 |     10,474 |
| JavaScript JSX |         84 |      7,496 |        305 |        893 |      8,694 |
| SCSS           |         24 |      4,708 |        151 |        993 |      5,852 |
| PostCSS        |         24 |      4,461 |          0 |         64 |      4,525 |
| JavaScript     |          7 |        286 |          6 |         13 |        305 |
| HTML           |          1 |         13 |          0 |          3 |         16 |
| Markdown       |          1 |          5 |          0 |          4 |          9 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                            |        144 |     27,442 |        462 |      1,972 |     29,876 |
| . (Files)                                                                                                                                                                    |          9 |     10,651 |          6 |         20 |     10,677 |
| public                                                                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                                                                                          |        134 |     16,790 |        456 |      1,952 |     19,198 |
| src (Files)                                                                                                                                                                  |          6 |      3,779 |        137 |        506 |      4,422 |
| src/Components                                                                                                                                                               |        128 |     13,011 |        319 |      1,446 |     14,776 |
| src/Components/HomePage                                                                                                                                                      |         15 |      1,331 |         47 |        196 |      1,574 |
| src/Components/HomePage (Files)                                                                                                                                              |          1 |         50 |          0 |          5 |         55 |
| src/Components/HomePage/Components                                                                                                                                           |         14 |      1,281 |         47 |        191 |      1,519 |
| src/Components/HomePage/Components/Classes                                                                                                                                   |          3 |        197 |          3 |         15 |        215 |
| src/Components/HomePage/Components/Footer                                                                                                                                    |          1 |         98 |          4 |          9 |        111 |
| src/Components/HomePage/Components/Home                                                                                                                                      |          1 |         24 |          3 |          9 |         36 |
| src/Components/HomePage/Components/Info                                                                                                                                      |          1 |         44 |          6 |         11 |         61 |
| src/Components/HomePage/Components/Intro                                                                                                                                     |          1 |         60 |          3 |         15 |         78 |
| src/Components/HomePage/Components/NavBar                                                                                                                                    |          2 |        208 |          1 |         26 |        235 |
| src/Components/HomePage/Components/Participants                                                                                                                              |          1 |         67 |          6 |         16 |         89 |
| src/Components/HomePage/Components/Rooms                                                                                                                                     |          1 |        152 |          5 |         30 |        187 |
| src/Components/HomePage/Components/Search                                                                                                                                    |          1 |        361 |         10 |         43 |        414 |
| src/Components/HomePage/Components/Subscribers                                                                                                                               |          1 |         20 |          2 |          5 |         27 |
| src/Components/HomePage/Components/Support                                                                                                                                   |          1 |         50 |          4 |         12 |         66 |
| src/Components/Login                                                                                                                                                         |          1 |        124 |          3 |         11 |        138 |
| src/Components/Logout                                                                                                                                                        |          1 |         15 |          0 |          5 |         20 |
| src/Components/Register                                                                                                                                                      |          1 |         93 |          8 |         21 |        122 |
| src/Components/SmallTable                                                                                                                                                    |          1 |        107 |          0 |         10 |        117 |
| src/Components/Table                                                                                                                                                         |         14 |        994 |         13 |         54 |      1,061 |
| src/Components/Users                                                                                                                                                         |         95 |     10,347 |        248 |      1,149 |     11,744 |
| src/Components/Users/Admin & Staff                                                                                                                                           |         55 |      5,921 |        149 |        622 |      6,692 |
| src/Components/Users/Admin & Staff (Files)                                                                                                                                   |          1 |         12 |          0 |          2 |         14 |
| src/Components/Users/Admin & Staff/Components                                                                                                                                |         54 |      5,909 |        149 |        620 |      6,678 |
| src/Components/Users/Admin & Staff/Components/Body Section                                                                                                                   |         51 |      5,336 |        128 |        546 |      6,010 |
| src/Components/Users/Admin & Staff/Components/Body Section (Files)                                                                                                           |          3 |        111 |         13 |         10 |        134 |
| src/Components/Users/Admin & Staff/Components/Body Section/Attendance                                                                                                        |          5 |        484 |          3 |         45 |        532 |
| src/Components/Users/Admin & Staff/Components/Body Section/Attendance (Files)                                                                                                |          3 |         72 |          1 |          6 |         79 |
| src/Components/Users/Admin & Staff/Components/Body Section/Attendance/Components                                                                                             |          2 |        412 |          2 |         39 |        453 |
| src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager                                                                                                   |          6 |        739 |          1 |         63 |        803 |
| src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager (Files)                                                                                           |          3 |        336 |          1 |         37 |        374 |
| src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/Components                                                                                        |          3 |        403 |          0 |         26 |        429 |
| src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/Components/BookingList                                                                            |          3 |        403 |          0 |         26 |        429 |
| src/Components/Users/Admin & Staff/Components/Body Section/Charts                                                                                                            |          3 |        261 |          1 |         25 |        287 |
| src/Components/Users/Admin & Staff/Components/Body Section/Charts (Files)                                                                                                    |          1 |         12 |          0 |          2 |         14 |
| src/Components/Users/Admin & Staff/Components/Body Section/Charts/Components                                                                                                 |          2 |        249 |          1 |         23 |        273 |
| src/Components/Users/Admin & Staff/Components/Body Section/Class Manager                                                                                                     |         10 |      1,260 |         57 |        123 |      1,440 |
| src/Components/Users/Admin & Staff/Components/Body Section/Class Manager (Files)                                                                                             |          3 |        278 |          3 |         31 |        312 |
| src/Components/Users/Admin & Staff/Components/Body Section/Class Manager/Components                                                                                          |          7 |        982 |         54 |         92 |      1,128 |
| src/Components/Users/Admin & Staff/Components/Body Section/Class Manager/Components/Classes                                                                                  |          4 |        626 |         54 |         60 |        740 |
| src/Components/Users/Admin & Staff/Components/Body Section/Class Manager/Components/Schedules                                                                                |          3 |        356 |          0 |         32 |        388 |
| src/Components/Users/Admin & Staff/Components/Body Section/Main Body                                                                                                         |         12 |      1,476 |         26 |        187 |      1,689 |
| src/Components/Users/Admin & Staff/Components/Body Section/Main Body (Files)                                                                                                 |          3 |         38 |          1 |          7 |         46 |
| src/Components/Users/Admin & Staff/Components/Body Section/Main Body/Activity Section                                                                                        |          3 |        294 |          3 |         26 |        323 |
| src/Components/Users/Admin & Staff/Components/Body Section/Main Body/Listing Section                                                                                         |          3 |        389 |          5 |         53 |        447 |
| src/Components/Users/Admin & Staff/Components/Body Section/Main Body/Top Section                                                                                             |          3 |        755 |         17 |        101 |        873 |
| src/Components/Users/Admin & Staff/Components/Body Section/Room Manager                                                                                                      |          5 |        261 |          2 |         30 |        293 |
| src/Components/Users/Admin & Staff/Components/Body Section/Room Manager (Files)                                                                                              |          3 |         79 |          1 |          7 |         87 |
